Quantifier,Percentage,A,B,Rtype
Most,3,kustled,chims,Test-Most-3-kustled-chims
Most,13,beckeled,racals,Test-Most-13-beckeled-racals
Most,12,puggled,entands,Test-Most-12-puggled-entands
Most,6,chadoped,shaples,Test-Most-6-chadoped-shaples
Most,18,chulked,vulhors,Test-Most-18-chulked-vulhors
Most,10,wernered,hurmers,Test-Most-10-wernered-hurmers
Most,20,mecketted,plumries,Test-Most-20-mecketted-plumries
Most,7,gukbared,soarses,Test-Most-7-gukbared-soarses
Most,17,clidged,henslies,Test-Most-17-clidged-henslies
Most,4,schoked,jabants,Test-Most-4-schoked-jabants
Most,11,spunged,wenples,Test-Most-11-spunged-wenples
Most,9,shriled,athoids,Test-Most-9-shriled-athoids
Most,26,cosued,spovers,Test-Most-26-cosued-spovers
Most,29,coamed,muconds,Test-Most-29-coamed-muconds
Most,28,shamered,bloives,Test-Most-28-shamered-bloives
Most,37,middored,drooties,Test-Most-37-middored-drooties
Most,46,ancitted,smets,Test-Most-46-ancitted-smets
Most,30,larred,dests,Test-Most-30-larred-dests
Most,42,haddered,ollidies,Test-Most-42-haddered-ollidies
Most,41,zettled,unfobs,Test-Most-41-zettled-unfobs
Most,34,fleeved,scalves,Test-Most-34-fleeved-scalves
Most,44,rikled,hullaws,Test-Most-44-rikled-hullaws
Most,33,shurried,presers,Test-Most-33-shurried-presers
Most,38,montered,melets,Test-Most-38-montered-melets
Most,70,stranted,potinds,Test-Most-70-stranted-potinds
Most,59,plettled,stubads,Test-Most-59-plettled-stubads
Most,53,umponded,marires,Test-Most-53-umponded-marires
Most,61,russered,huttles,Test-Most-61-russered-huttles
Most,67,cathered,funders,Test-Most-67-cathered-funders
Most,65,teckered,billers,Test-Most-65-teckered-billers
Most,55,bittled,enciads,Test-Most-55-bittled-enciads
Most,71,rastered,movels,Test-Most-71-rastered-movels
Most,66,mennered,nandows,Test-Most-66-mennered-nandows
Most,52,bamed,zats,Test-Most-52-bamed-zats
Most,68,plored,sesares,Test-Most-68-plored-sesares
Most,73,coppled,hunens,Test-Most-73-coppled-hunens
Most,92,spoamed,zillies,Test-Most-92-spoamed-zillies
Most,77,poared,nents,Test-Most-77-poared-nents
Most,99,pobbled,spippies,Test-Most-99-pobbled-spippies
Most,81,raddened,fanes,Test-Most-81-raddened-fanes
Most,94,boddled,molils,Test-Most-94-boddled-molils
Most,86,devoled,shollies,Test-Most-86-devoled-shollies
Most,88,jalled,sildals,Test-Most-88-jalled-sildals
Most,97,dordered,coggons,Test-Most-97-dordered-coggons
Most,93,puctored,recures,Test-Most-93-puctored-recures
Most,85,choved,poddens,Test-Most-85-choved-poddens
Most,84,awplored,nases,Test-Most-84-awplored-nases
Most,96,ingelled,nalils,Test-Most-96-ingelled-nalils
Some,19,kustled,chims,Test-Some-19-kustled-chims
Some,16,puggled,entands,Test-Some-16-puggled-entands
Some,4,chulked,vulhors,Test-Some-4-chulked-vulhors
Some,15,mecketted,plumries,Test-Some-15-mecketted-plumries
Some,13,clidged,henslies,Test-Some-13-clidged-henslies
Some,3,spunged,wenples,Test-Some-3-spunged-wenples
Some,43,cosued,spovers,Test-Some-43-cosued-spovers
